date,year,month,airline,published_airline,iata_code,geo_summary,geo_region,price_category,terminal,boarding_area,passenger_count
1999-10-01,1999,10,Lufthansa German Airlines,Lufthansa German Airlines,LH,International,Europe,Other,Terminal 2,D,20694
1999-10-01,1999,10,Mexicana Airlines,Mexicana Airlines,MX,International,Mexico,Other,Terminal 2,D,14190
1999-10-01,1999,10,Midwest Airlines,Midwest Airlines,YX,Domestic,US,Other,Terminal 1,B,2937
1999-10-01,1999,10,National Airlines,National Airlines,N7,Domestic,US,Other,Terminal 1,B,10459
1999-10-01,1999,10,Northwest Airlines (became Delta),Northwest Airlines (became Delta),NW,Domestic,US,Other,Terminal 1,C,64364
1999-10-01,1999,10,Northwest Airlines (became Delta),Northwest Airlines (became Delta),NW,International,Asia,Other,Terminal 2,D,8445
1999-10-01,1999,10,Philippine Airlines,Philippine Airlines,PR,International,Asia,Other,Terminal 2,D,7340
1999-10-01,1999,10,Ryan International Airlines,Ryan International Airlines,RD,Domestic,US,Other,Terminal 2,D,9921
1999-10-01,1999,10,Ryan International Airlines,Ryan International Airlines,RD,International,Europe,Other,Terminal 2,D,5756
1999-10-01,1999,10,Singapore Airlines,Singapore Airlines,SQ,International,Asia,Other,Terminal 2,D,16633
1999-10-01,1999,10,SkyWest Airlines,Delta Air Lines,DL,Domestic,US,Other,Terminal 1,C,2014
1999-10-01,1999,10,SkyWest Airlines,United Airlines - Pre 07/01/2013,UA,Domestic,US,Other,Terminal 3,F,49910
1999-10-01,1999,10,Sobelair Airlines,Sobelair Airlines,,International,Europe,Other,Terminal 2,D,267
1999-10-01,1999,10,Southwest Airlines,Southwest Airlines,WN,Domestic,US,Low Fare,Terminal 1,A,33971
1999-10-01,1999,10,Sun Country Airlines,Sun Country Airlines,SY,Domestic,US,Low Fare,Terminal 3,E,2985
1999-10-01,1999,10,Swissair,Swissair,SR,International,Europe,Other,Terminal 2,D,4934
1999-10-01,1999,10,"TACA International Airlines, S.A.","TACA International Airlines, S.A.",TA,International,Central America,Other,Terminal 2,D,2754
1999-10-01,1999,10,TWA,TWA,TW,Domestic,US,Other,Terminal 1,B,28793
1999-10-01,1999,10,Tower Air,Tower Air,FF,Domestic,US,Other,Terminal 3,E,6026
1999-10-01,1999,10,Trans States Airlines,US Airways,US,Domestic,US,Other,Terminal 1,A,2928
1999-10-01,1999,10,US Airways,US Airways,US,Domestic,US,Other,Terminal 1,A,45245
1999-10-01,1999,10,US Airways,US Airways,US,Domestic,US,Low Fare,Terminal 1,B,29661
1999-10-01,1999,10,United Airlines,United Airlines,UA,Domestic,US,Other,Terminal 1,B,64829
1999-10-01,1999,10,United Airlines,United Airlines - Pre 07/01/2013,UA,Domestic,US,Other,Terminal 3,E,49271
1999-10-01,1999,10,United Airlines,United Airlines - Pre 07/01/2013,UA,Domestic,US,Other,Terminal 3,F,705491
1999-10-01,1999,10,United Airlines,United Airlines - Pre 07/01/2013,UA,International,Asia,Other,International,G,47661
1999-10-01,1999,10,United Airlines,United Airlines - Pre 07/01/2013,UA,International,Australia / Oceania,Other,International,G,9805
1999-10-01,1999,10,United Airlines,United Airlines - Pre 07/01/2013,UA,International,Canada,Other,International,G,12188
1999-10-01,1999,10,United Airlines,United Airlines - Pre 07/01/2013,UA,International,Canada,Other,Terminal 3,F,6499
1999-10-01,1999,10,United Airlines,United Airlines - Pre 07/01/2013,UA,International,Europe,Other,International,G,15475
1999-10-01,1999,10,United Airlines,United Airlines - Pre 07/01/2013,UA,International,Mexico,Other,International,G,3926
1999-10-01,1999,10,Virgin Atlantic,Virgin Atlantic,VS,International,Europe,Other,Terminal 2,D,10999
1999-11-01,1999,11,ATA Airlines,ATA Airlines,TZ,Domestic,US,Low Fare,Terminal 1,B,19009
1999-11-01,1999,11,Aeroflot Russian International Airlines,Aeroflot Russian International Airlines,,International,Europe,Other,Terminal 2,D,535
1999-11-01,1999,11,Air Canada,Air Canada,AC,International,Canada,Other,Terminal 1,B,18302
1999-11-01,1999,11,Air China,Air China,CA,International,Asia,Other,Terminal 2,D,2957
1999-11-01,1999,11,Air France,Air France,AF,International,Europe,Other,Terminal 2,D,5353
1999-11-01,1999,11,Alaska Airlines,Alaska Airlines,AS,Domestic,US,Other,Terminal 2,D,40365
